id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
356,"Palma de coco",Palma,Juvenil,0.8,0.4,0.13,0.13,0,0,0.5,3,2.5,2.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873756,1058700
357,Mango,Arbol,Maduro,0.89,0,0.17,0.17,0.49,0.56,2,4.5,2.5,4.9,0,2,0,0,0,"Alto (67 - 100%)",Regular,873758,1058700
358,Aguacate,Arbol,Maduro,0.58,0.41,0.13,0.13,0,0,2,5,3,4.6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873756,1058710
359,Aguacate,Arbol,Maduro,0.23,0.13,0.04,0.04,0,0,2,3.2,1.2,3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873756,1058700
360,"Ficus Higueron, Ficus insipida, Caucho Insipida",Arbol,Maduro,5.19,6,1.91,1.91,0,0,2,13.5,11.5,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873764,1058700
361,"Ceiba rosada",Arbol,Maduro,1.2,1.53,0.49,0.49,0,0,3.2,4.2,1,3.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873766,1058700
362,Mango,Arbol,Maduro,1,0,0.15,0.15,0.4,0.57,2,5,3,5.2,0,3,0,0,0,"Alto (67 - 100%)",Regular,873764,1058710
363,Chiminango,Arbol,Maduro,2,1.85,0.59,0.59,0,0,2,10.6,8.6,10.9,0,1,0,0,0,"Alto (67 - 100%)",Regular,873760,1058720
364,"Guayacan rosado",Arbol,Maduro,0.3,0.25,0.08,0.08,0,0,2,5.2,3.2,3,0,1,0,0,0,"Alto (67 - 100%)",Regular,873765,1058720
365,Chiminango,Arbol,Maduro,1.25,0,0.3,0.3,0.84,1.04,2,13.5,11.5,12.6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873777,1058720
366,"Seso, Bien me sabe",Arbol,Maduro,0.24,0.2,0.06,0.06,0,0,2,3.6,1.6,2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873766,1058730
367,"Guayacan rosado",Arbol,Maduro,0.34,0.3,0.1,0.1,0,0,2,5,3,3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873781,1058740
368,Guanabano,Arbol,Maduro,0.57,0.44,0.14,0.14,0,0,2,5.1,3.1,4.2,0,1,0,0,0,"Alto (67 - 100%)",Regular,873763,1058730
369,Chiminango,Arbol,Maduro,1.95,0,0.32,0.32,0.65,1.37,2,12,10,13,0,8,0,0,0,"Alto (67 - 100%)",Regular,873760,1058740
370,Chiminango,Arbol,Maduro,2.06,0,0.52,0.52,1.5,1.78,2,12,10,10.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873754,1058730
371,Chiminango,Arbol,Maduro,2.34,0,0.44,0.44,1.24,1.53,2,10.8,8.8,10,0,4,0,0,0,"Alto (67 - 100%)",Regular,873748,1058720
372,Mango,Arbol,Maduro,0.45,0,0.07,0.07,0.2,0.27,2,3.2,1.2,2.2,0,3,0,0,0,"Alto (67 - 100%)",Regular,873741,1058710
373,Chiminango,Arbol,Maduro,2.02,0,0.35,0.35,1.1,1.12,2,8,6,9,0,4,0,0,0,"Alto (67 - 100%)",Regular,873735,1058700
374,Chiminango,Arbol,Maduro,1.61,0,0.37,0.37,0.82,1.53,2,7.5,5.5,6.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873733,1058700
375,"Dracaena roja","Planta arbustiva",Maduro,0.72,0,0.07,0.07,0.13,0.28,1.2,3,1.8,2,0,3,0,0,0,"Alto (67 - 100%)",Regular,873731,1058700
376,Guacimo,Arbol,Maduro,1.36,0,0.12,0.12,0.22,0.53,2.5,6,3.5,5,0,4,0,0,0,"Alto (67 - 100%)",Regular,873389,1056880
377,Guacimo,Arbol,Maduro,1.35,0,0.08,0.08,0.23,0.3,1.5,3.5,2,4,0,2,0,0,0,"Medio (34 - 66%)",Regular,873382,1056870
378,Gualanday,Arbol,Maduro,2.2,2.23,0.71,0.71,0,0,3,16,13,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873367,1056860
379,Mandarina,Arbusto,Maduro,0.54,0.44,0.14,0.14,0,0,2.5,5,2.5,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873355,1056860
380,Guanabano,Arbol,Maduro,1.26,1.2,0.38,0.38,0,0,2.6,11,8.4,7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873350,1056860
381,Aguacate,Arbol,Maduro,1.06,0,0.1,0.1,0.22,0.42,2,5,3,4,0,2,0,0,0,"Medio (34 - 66%)",Regular,873316,1056880
382,Sietecueros,Arbol,Maduro,0.35,0,0.04,0.04,0.12,0.14,0.6,3,2.4,5,0,3,0,0,0,"Medio (34 - 66%)",Sano,873318,1056880
383,"Acacia robinia",Arbol,Maduro,1.17,0,0.25,0.25,0.75,0.8,4,10,6,11,0,2,0,0,0,"Alto (67 - 100%)",Regular,873156,1057210
384,Gualanday,Arbol,Maduro,1.18,1.02,0.32,0.32,0,0,5,13,8,9,0,1,0,0,0,"Alto (67 - 100%)",Regular,873158,1057200
385,Gualanday,Arbol,Maduro,1,0.9,0.29,0.29,0,0,5.5,13,7.5,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873157,1057200
386,Gualanday,Arbol,Maduro,1.75,1.02,0.32,0.32,0,0,5,13,8,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873158,1057190
387,"Acacia robinia",Arbol,Maduro,0.86,0.81,0.26,0.26,0,0,4,7,3,6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873157,1057190
388,Gualanday,Arbol,Maduro,1.32,1.13,0.36,0.36,0,0,5,14,9,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873158,1057180
389,"Acacia robinia",Arbol,Juvenil,1.43,0.77,0.25,0.25,0,0,5,9,4,11,0,1,0,0,0,"Alto (67 - 100%)",Regular,873158,1057180
390,"Acacia robinia",Arbol,Maduro,1.52,0.77,0.25,0.25,0,0,5,9,4,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873159,1057170
391,"Palma Payanesa",Palma,Maduro,0.85,0.75,0.24,0.24,0,0,8,12,4,6,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873160,1057160
392,"Cadmio, Cananga",Arbol,Maduro,1.35,1.2,0.38,0.38,0,0,6,10,4,8,0,1,0,0,0,"Medio (34 - 66%)",Sano,873146,1057140
393,"Cadmio, Cananga",Arbol,Maduro,0.84,0.65,0.21,0.21,0,0,6,12,6,7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873154,1057150
394,"Palma areca",Palma,Maduro,2.2,0,0.08,0.08,0.15,0.38,2,5,3,6,0,8,0,0,0,"Bajo (0 - 33%)",Sano,873156,1057130
395,"Palma areca",Palma,Maduro,0.4,0.39,0.12,0.12,0,0,3,5,2,4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873154,1057130
396,"Palma areca",Palma,Maduro,1.1,0,0.05,0.05,0.12,0.2,0.8,2.2,1.4,2.5,0,6,0,0,0,"Bajo (0 - 33%)",Sano,873141,1057110
397,Guacimo,Arbol,Maduro,3.4,0,0.28,0.28,0.65,1.13,3,11,8,16,0,5,0,0,0,"Alto (67 - 100%)",Regular,873128,1057110
398,Mango,Arbol,Maduro,2.2,2.4,0.76,0.76,0,0,3,12,9,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873182,1057040
399,Mango,Arbol,Maduro,3.2,1.8,0.57,0.57,0,0,5,12,7,13,0,1,0,0,0,"Alto (67 - 100%)",Regular,873188,1057040
400,Mango,Arbol,Maduro,1.4,1.3,0.41,0.41,0,0,3,8,5,10,0,1,0,0,0,"Alto (67 - 100%)",Regular,873186,1057040
401,Guacimo,Arbol,Maduro,2,0,0.45,0.45,1.2,1.6,4,11,7,15,0,2,0,0,0,"Alto (67 - 100%)",Regular,873223,1057080
402,Guayabo,Arbusto,Maduro,0.68,0.64,0.2,0.2,0,0,2.5,5,2.5,10,0,1,0,0,0,"Medio (34 - 66%)",Regular,873218,1057080
403,Arrayan,Arbol,Maduro,0.6,0,0.07,0.07,0.18,0.25,2,5,3,3,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873215,1057080
404,Guacimo,Arbol,Maduro,2.15,1.67,0.53,0.53,0,0,4,14,10,15,0,1,0,0,0,"Alto (67 - 100%)",Regular,873214,1057090
405,Chiminango,Arbol,Juvenil,1.16,0.8,0.25,0.25,0,0,2,5,3,8,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873227,1057090
406,Guacimo,Arbol,Maduro,1.74,0,0.34,0.34,0.8,1.35,4,10,6,12,0,2,0,0,0,"Alto (67 - 100%)",Regular,873236,1057110
407,Chiminango,Arbol,Juvenil,0.92,0,0.05,0.05,0.15,0.18,1.7,3.5,1.8,7,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873228,1057100
408,Guacimo,Arbol,Maduro,1.12,0.95,0.3,0.3,0,0,3,10,7,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873244,1057100
409,Leucaena,Arbol,Maduro,1.55,1.7,0.54,0.54,0,0,4,10,6,15,0,1,0,0,0,"Medio (34 - 66%)",Sano,873250,1057100
410,Guacimo,Arbol,Maduro,1.8,1.6,0.51,0.51,0,0,2,9,7,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873243,1057120
411,Guacimo,Arbol,Maduro,1.7,1.5,0.48,0.48,0,0,2.5,12,9.5,19,0,1,0,0,0,"Alto (67 - 100%)",Regular,873254,1057100
412,"Chambimbe, Jaboncillo",Arbol,Maduro,1.35,1.2,0.38,0.38,0,0,5,13,8,15,0,1,0,0,0,"Alto (67 - 100%)",Regular,873254,1057090
413,Guacimo,Arbol,Maduro,1.9,0,0.23,0.23,0.6,0.85,2,10,8,12,0,2,0,0,0,"Alto (67 - 100%)",Regular,873257,1057080
414,Guacimo,Arbol,Maduro,1.65,1.4,0.45,0.45,0,0,3,13,10,14,0,1,0,0,0,"Alto (67 - 100%)",Regular,873252,1057080
415,Guacimo,Arbol,Maduro,1.7,0,0.32,0.32,0.82,1.18,3,13,10,12,0,2,0,0,0,"Alto (67 - 100%)",Regular,873249,1057090
416,Guacimo,Arbol,Maduro,1,0.87,0.28,0.28,0,0,5,12,7,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873245,1057090
417,Guacimo,Arbol,Maduro,1.4,0,0.26,0.26,0.75,0.9,4,13,9,15,0,2,0,0,0,"Alto (67 - 100%)",Regular,873251,1057100
418,Guacimo,Arbol,Maduro,0.84,0.8,0.25,0.25,0,0,4,10,6,11,0,1,0,0,0,"Alto (67 - 100%)",Regular,873242,1057090
419,Guacimo,Arbol,Maduro,1.3,0,0.27,0.27,0.82,0.87,3,9,6,11,0,2,0,0,0,"Alto (67 - 100%)",Regular,873245,1057100
420,"Palma areca",Palma,Maduro,0.9,0,0.07,0.07,0.21,0.25,3.5,6,2.5,4,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873295,1057240
421,"Palma de coco",Palma,Juvenil,0.84,0.8,0.25,0.25,0,0,12,15,3,6,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873291,1057240
422,"Dracena dereminsis","Planta arbustiva",Maduro,0.64,0,0.03,0.03,0.07,0.12,1,3,2,1,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873298,1057250
423,"Carbonero de flor blanca",Arbusto,Juvenil,0.45,0,0.06,0.06,0.12,0.25,0.8,1.5,0.7,3.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873321,1057280
424,Limon,Arbusto,Maduro,0.32,0,0.07,0.07,0.17,0.24,1,3,2,2,0,2,0,0,0,"Alto (67 - 100%)",Regular,873291,1057280
